{}
Asset Acct,Item Number,Item Name,Buy,Sell,Inventory,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
,.,,B,S,,41110,51110,,,,,,,,,,,GST,,,0,,$1.00,,GST,,0,1,0,0,0,0,0,1,34.82,34.82,34.82,34.82,34.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,zzAG 1502A,AG Cylinder 1.5" x 2" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$349.00,,GST,,0,1,0,0,0,0,0,349,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 1504A,AG Cylinder 1.5" x 4" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 1504A,GST,,1,2,2,$394.35,,GST,,0,1,0,0,0,0,0,394.35,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 1506A,AG Cylinder 1.5" x 6" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$422.50,,GST,,0,1,0,0,0,0,0,422.5,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1506B,AG Cylinder 1.5" x 6" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$349.00,,GST,,0,1,0,0,0,0,0,349,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1508A,AG Cylinder 1.5" x 8" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$349.00,,GST,,0,1,0,0,0,0,0,349,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1508B,AG Cylinder 1.5" x 8" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$349.00,,GST,,0,1,0,0,0,0,0,349,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 1510A,AG Cylinder 1.5" x 10" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 1510A,GST,,1,0,0,$443.00,,GST,,0,1,0,0,0,0,0,443,338,338,338,338,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1512A,AG Cylinder 1.5" x 12" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 1512A,GST,,1,0,0,$383.00,,GST,,0,1,0,0,0,0,0,383,351,351,351,351,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 1514A,AG Cylinder 1.5" x 14" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$417.00,,GST,,0,1,0,0,0,0,0,417,362,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 1516A,AG Cylinder 1.5" x 16" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$505.00,,GST,,0,1,0,0,0,0,0,505,387,387,387,387,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1518A,AG Cylinder 1.5" x 18" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$434.00,,GST,,0,1,0,0,0,0,0,434,391,391,391,391,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1520A,AG Cylinder 1.5" x 20" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$451.00,,GST,,0,1,0,0,0,0,0,451,415,415,415,415,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1524A,AG Cylinder 1.5" x 24" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$485.00,,GST,,0,1,0,0,0,0,0,485,435,435,435,435,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,zzAG 1530A,AG Cylinder 1.5" x 30" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$536.00,,GST,,0,1,0,0,0,0,0,536,457,457,457,457,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1530B,AG Cylinder 1.5" x 30" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$536.00,,GST,,0,1,0,0,0,0,0,536,457,457,457,457,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1536A,AG Cylinder 1.5" x 36" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$587.00,,GST,,0,1,0,0,0,0,0,587,489,489,489,489,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1540A,AG Cylinder 1.5" x 40" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$587.00,,GST,,0,1,0,0,0,0,0,587,570,570,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1544A,AG Cylinder 1.5" x 44" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$587.00,,GST,,0,1,0,0,0,0,0,587,570,570,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 1548A,AG Cylinder 1.5" x 48" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$690.00,,GST,,0,1,0,0,0,0,0,690,570,570,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2002A,AG Cylinder 2" x 2" Port A,B,S,I,41110,51110,,,,,,,,,Austral Hydraulics Pty Ltd,,GST,,1,0,0,$329.00,,GST,,0,1,0,0,0,0,0,329,329,329,329,329,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2004A,AG Cylinder 2" x 4" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$371.55,,GST,,0,1,0,0,0,0,0,371.55,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 2006A,AG Cylinder 2" x 6" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2006A,GST,,1,2,2,$329.00,,GST,,0,1,0,0,0,0,0,329,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 2006B,AG Cylinder 2" x 6" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$329.00,,GST,,0,1,0,0,0,0,0,329,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2008A,AG Cylinder 2" x 8" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$398.00,,GST,,0,1,0,0,0,0,0,398,313,313,313,313,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2010A,AG Cylinder 2" x 10" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2010A,GST,,1,2,2,$347.00,,GST,,0,1,0,0,0,0,0,347,328,328,328,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,ZZAG 2010B,AG Cylinder 2" x 10" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$347.00,,GST,,0,1,0,0,0,0,0,347,328,328,328,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2012A,AG Cylinder 2" x 12" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$442.00,,GST,,0,1,0,0,0,0,0,442,342,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2012B,AG Cylinder 2" x 12" Port B,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$365.00,,GST,,0,1,0,0,0,0,0,365,342,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2014A,AG Cylinder 2" x 14" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$466.50,,GST,,0,1,0,0,0,0,0,466.5,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2016A,AG Cylinder 2" x 16" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$488.00,,GST,,0,1,0,0,0,0,0,488,380,380,380,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2018A,AG Cylinder 2" x 18" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$418.00,,GST,,0,1,0,0,0,0,0,418,418,418,418,418,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,$0.00,,
11305,AG 2020A,AG Cylinder 2" x 20" Port A,B,S,I,41110,51110,,,,,,,,,QMN,,GST,,1,0,0,$539.50,,GST,,0,1,0,0,0,0,0,539.5,410,410,410,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2022A,AG Cylinder 2" x 22" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$473.00,,GST,,0,1,0,0,0,0,0,473,442,442,442,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,AG 2024A,AG Cylinder 2" x 24" Port A,B,S,I,41110,51110,,,,,,,,,QMN,AG 2024A,GST,,1,2,2,$575.00,,GST,,0,1,0,0,0,0,0,575,442,442,442,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
11305,ZZAG 2026A,AG Cylinder 2" x 26" Port A,B,S,I,41110,51110,,,,,,,,,,,GST,,1,0,0,$533.00,,GST,,0,1,0,0,0,0,0,533,469,469,469,469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,$0.00,,
